Date,Close/Last,Volume,Open,High,Low,Day
02/26/2020,73.16,198713720,71.63,74.47,71.63,0
02/27/2020,68.38,320605520,70.28,71.50,68.24,1
02/28/2020,68.34,426884800,64.32,69.60,64.09,2
03/02/2020,74.70,341397360,70.57,75.36,69.43,3
03/03/2020,72.33,319475400,75.92,76.00,71.45,4
03/04/2020,75.69,219178280,74.11,75.85,73.28,5
03/05/2020,73.23,187572880,73.88,74.89,72.85,6
03/06/2020,72.26,226177000,70.50,72.71,70.31,7
03/09/2020,66.54,286744840,65.94,69.52,65.75,8
03/10/2020,71.34,285290080,69.29,71.61,67.34,9
03/11/2020,68.86,256379880,69.35,70.31,67.97,10
03/12/2020,62.06,418474000,63.99,67.50,62.00,11
03/13/2020,69.49,370732120,66.22,69.98,63.24,12
03/16/2020,60.55,322423480,60.49,64.77,60.00,13
03/17/2020,63.22,324055880,61.88,64.40,59.60,14
03/18/2020,61.67,300233640,59.94,62.50,59.28,15
03/19/2020,61.20,271857040,61.85,63.21,60.65,16
03/20/2020,57.31,401693200,61.80,62.96,57.00,17
03/23/2020,56.09,336752840,57.02,57.12,53.15,18
03/24/2020,61.72,287531080,59.09,61.92,58.58,19
03/25/2020,61.38,303602040,62.69,64.56,61.08,20
03/26/2020,64.61,252560680,61.63,64.67,61.59,21
03/27/2020,61.94,204216600,63.19,63.97,61.76,22
03/30/2020,63.70,167976440,62.69,63.88,62.35,23
03/31/2020,63.57,197002000,63.90,65.62,63.00,24
04/01/2020,60.23,176218560,61.63,62.18,59.78,25
04/02/2020,61.23,165933960,60.09,61.29,59.23,26
04/03/2020,60.35,129880080,60.70,61.43,59.74,27
04/06/2020,65.62,201820280,62.73,65.78,62.35,28
04/07/2020,64.86,202887320,67.70,67.93,64.75,29
04/08/2020,66.52,168895280,65.69,66.84,65.31,30
04/09/2020,67.00,162116480,67.18,67.52,66.18,31
04/13/2020,68.31,131022920,67.08,68.43,66.46,32
04/14/2020,71.76,194994680,70.00,72.06,69.51,33
04/15/2020,71.11,131154560,70.60,71.58,70.16,34
04/16/2020,71.67,157125160,71.85,72.05,70.59,35
04/17/2020,70.70,215249920,71.17,71.74,69.22,36
04/20/2020,69.23,130015000,69.49,70.42,69.21,37
04/21/2020,67.09,180991560,69.07,69.31,66.36,38
04/22/2020,69.03,117057360,68.40,69.48,68.05,39
04/23/2020,68.76,124814320,68.97,70.44,68.72,40
04/24/2020,70.74,126508720,69.30,70.75,69.25,41
04/27/2020,70.79,117087560,70.45,71.14,69.99,42
04/28/2020,69.65,112004760,71.27,71.46,69.55,43
04/29/2020,71.93,137280800,71.18,72.42,70.97,44
04/30/2020,73.45,183063880,72.49,73.63,72.09,45
05/01/2020,72.27,240616720,71.56,74.75,71.46,46
05/04/2020,73.29,133567960,72.29,73.42,71.58,47
05/05/2020,74.39,147751200,73.77,75.25,73.62,48
05/06/2020,75.16,142333760,75.12,75.81,74.72,49
05/07/2020,75.94,115215040,75.81,76.29,75.49,50
05/08/2020,77.53,134047960,76.41,77.59,76.07,51
05/11/2020,78.75,145946240,77.03,79.26,76.81,52
05/12/2020,77.85,162301040,79.46,79.92,77.73,53
05/13/2020,76.91,200622560,78.04,78.99,75.80,54
05/14/2020,77.39,158929080,76.13,77.45,75.38,55
05/15/2020,76.93,166348360,75.09,76.98,75.05,56
05/18/2020,78.74,135372520,78.29,79.13,77.58,57
05/19/2020,78.29,101729560,78.76,79.63,78.25,58
05/20/2020,79.81,111504880,79.17,79.88,79.05,59
05/21/2020,79.21,102688840,79.67,80.22,78.97,60
05/22/2020,79.72,81803000,78.94,79.81,78.84,61
05/26/2020,79.18,125521800,80.88,81.06,79.13,62
05/27/2020,79.53,112945080,79.04,79.68,78.27,63
05/28/2020,79.56,133796400,79.19,80.86,78.91,64
05/29/2020,79.49,153598120,79.81,80.29,79.12,65
06/01/2020,80.46,81018600,79.44,80.59,79.30,66
06/02/2020,80.84,87642800,80.19,80.86,79.73,67
06/03/2020,81.28,104491200,81.17,81.55,80.58,68
06/04/2020,80.58,87560360,81.10,81.41,80.20,69
06/05/2020,82.88,137250200,80.84,82.94,80.81,70
06/08/2020,83.37,95654520,82.56,83.40,81.83,71
06/09/2020,86.00,147712360,83.04,86.40,83.00,72
06/10/2020,88.21,166651760,86.98,88.69,86.52,73
06/11/2020,83.98,201662440,87.33,87.77,83.87,74
06/12/2020,84.70,200146040,86.18,86.95,83.56,75
06/15/2020,85.75,138808920,83.31,86.42,83.15,76
06/16/2020,88.02,165428720,87.87,88.30,86.18,77
06/17/2020,87.90,114406520,88.79,88.85,87.77,78
06/18/2020,87.93,96820400,87.85,88.36,87.31,79
06/19/2020,87.43,264475800,88.66,89.14,86.29,80
06/22/2020,89.72,135445280,87.84,89.87,87.79,81
06/23/2020,91.63,212155480,91.00,93.10,90.57,82
06/24/2020,90.02,192623400,91.25,92.20,89.63,83
06/25/2020,91.21,137522520,90.18,91.25,89.39,84
06/26/2020,88.41,205256840,91.10,91.33,88.26,85
06/29/2020,90.45,130646080,88.31,90.54,87.82,86
06/30/2020,91.20,140223280,90.02,91.50,90.00,87
07/01/2020,91.03,110737240,91.28,91.84,90.98,88
07/02/2020,91.03,114041480,91.96,92.62,90.91,89
07/06/2020,93.46,118655640,92.50,93.95,92.47,90
07/07/2020,93.17,112424440,93.85,94.66,93.06,91
07/08/2020,95.34,117091880,94.18,95.38,94.09,92
07/09/2020,95.68,125642600,96.26,96.32,94.67,93
07/10/2020,95.92,90257320,95.34,95.98,94.71,94
07/13/2020,95.48,191649160,97.27,99.96,95.26,95
07/14/2020,97.06,170989360,94.84,97.26,93.88,96
07/15/2020,97.73,153197920,98.99,99.25,96.49,97
07/16/2020,96.52,110577680,96.56,97.41,95.91,98
07/17/2020,96.33,92186920,96.99,97.15,95.84,99
07/20/2020,98.36,90317920,96.42,98.50,96.06,100
07/21/2020,97.00,103645840,99.17,99.25,96.74,101
07/22/2020,97.27,89001640,96.69,97.98,96.60,102
07/23/2020,92.85,197004440,97.00,97.08,92.01,103
07/24/2020,92.62,185438880,90.99,92.97,89.15,104
07/27/2020,94.81,121214200,93.71,94.91,93.48,105
07/28/2020,93.25,103625520,94.37,94.55,93.25,106
07/29/2020,95.04,90329240,93.75,95.23,93.71,107
07/30/2020,96.19,158130040,94.19,96.30,93.77,108
07/31/2020,106.26,374295480,102.88,106.42,100.83,109
08/03/2020,108.94,308151400,108.20,111.64,107.89,110
