Date,Close/Last,Volume,Open,High,Low,Day
11/25/2020,1.47,16061490,1.33,1.59,1.26,62
11/27/2020,1.27,4024825,1.27,1.33,1.20,63
11/30/2020,1.28,6692428,1.25,1.48,1.25,64
12/01/2020,1.26,5479866,1.33,1.36,1.24,65
12/02/2020,1.38,5026439,1.38,1.46,1.35,66
12/03/2020,1.42,10931850,1.63,1.65,1.41,67
12/04/2020,1.47,7124237,1.56,1.59,1.46,68
12/07/2020,1.58,6504752,1.60,1.65,1.56,69
12/08/2020,1.68,5063596,1.79,1.80,1.66,70
12/09/2020,1.79,7846190,1.88,2.09,1.77,71
12/10/2020,1.82,4726542,1.90,1.95,1.81,72
12/11/2020,1.91,2568545,1.94,2.00,1.90,73
12/14/2020,1.94,3201930,1.89,1.98,1.81,74
12/15/2020,2.02,3590049,2.08,2.12,2.00,75
12/16/2020,2.05,4872699,2.15,2.16,2.01,76
12/17/2020,2.03,3088206,2.06,2.16,2.01,77
12/18/2020,2.09,3322375,2.16,2.20,2.08,78
12/21/2020,2.24,6459615,2.10,2.28,2.02,79
12/22/2020,2.16,35789480,2.40,2.51,2.07,80
12/23/2020,2.00,3315489,2.02,2.07,1.90,81
12/24/2020,2.02,3440967,2.12,2.16,2.00,82
12/28/2020,2.12,3272486,2.21,2.23,2.09,83
12/29/2020,2.22,2316291,2.21,2.29,2.18,84
12/30/2020,2.24,2392428,2.23,2.32,2.21,85
12/31/2020,2.23,2246160,2.27,2.28,2.21,86
01/04/2021,2.31,4691148,2.22,2.45,2.18,87
01/05/2021,2.28,4066781,2.35,2.38,2.23,88
01/06/2021,2.43,3770018,2.48,2.49,2.34,89
01/07/2021,2.51,5551566,2.64,2.65,2.46,90
01/08/2021,2.75,27949220,2.65,2.95,2.50,91
01/11/2021,2.45,27971300,2.35,2.95,2.25,92
01/12/2021,2.33,4151300,2.36,2.43,2.27,93
01/13/2021,2.48,5024382,2.65,2.68,2.44,94
01/14/2021,2.70,3890263,2.77,2.79,2.65,95
01/15/2021,2.80,6193255,2.93,2.93,2.69,96
01/19/2021,2.94,5247255,2.88,3.00,2.80,97
01/20/2021,2.79,3458459,2.87,2.91,2.70,98
01/21/2021,2.87,7599216,2.85,3.19,2.81,99
01/22/2021,2.78,6606668,3.06,3.08,2.76,100
01/25/2021,3.01,26677170,2.93,3.60,2.79,101
01/26/2021,2.75,4077623,2.88,2.91,2.71,102
01/27/2021,2.94,4053843,3.08,3.14,2.89,103
01/28/2021,3.10,3704494,3.33,3.33,2.97,104
01/29/2021,3.37,4857728,3.50,3.53,3.31,105
02/01/2021,3.70,4672088,4.11,4.13,3.66,106
02/02/2021,3.92,6081154,3.52,4.05,3.25,107
02/03/2021,3.56,3660244,3.75,3.82,3.50,108
02/04/2021,3.65,4025942,4.02,4.02,3.60,109
02/05/2021,3.99,4026180,4.00,4.16,3.92,110
02/08/2021,4.04,3658261,4.06,4.19,3.91,111
02/09/2021,3.98,3290840,4.12,4.16,3.87,112
02/10/2021,4.19,4958090,4.35,4.82,4.11,113
02/11/2021,4.48,4143857,4.55,4.55,4.15,114
02/12/2021,4.80,20462120,5.98,6.52,4.50,115
02/16/2021,5.21,20096330,6.04,6.46,4.81,116
02/17/2021,5.24,69569350,3.45,6.48,3.45,117
02/18/2021,3.43,7067419,5.07,5.09,3.36,118
02/19/2021,5.03,4639253,5.46,5.59,4.94,119
02/22/2021,5.49,3873379,6.16,6.62,5.36,120
02/23/2021,6.25,4616062,6.81,7.23,6.11,121
02/24/2021,7.08,8599348,7.31,7.81,6.81,122
02/25/2021,7.58,26678710,6.58,7.98,5.93,123
02/26/2021,7.23,77861900,10.50,11.40,6.66,124
03/01/2021,8.04,153400700,3.60,8.89,3.27,125
03/02/2021,3.59,10380360,2.79,3.71,2.67,126
03/03/2021,3.00,6707130,3.97,3.97,2.90,127
03/04/2021,3.99,5542135,4.87,4.99,3.80,128
03/05/2021,5.14,250000,5.58,5.79,4.87,129
03/08/2021,5.07,3269903,5.40,5.47,4.80,130
03/09/2021,6.72,1504824,7.52,7.56,6.03,131
03/10/2021,7.66,1006824,8.17,8.32,7.60,132
03/11/2021,8.52,1211621,9.24,9.24,7.92,133
03/12/2021,8.91,896521,9.40,9.52,8.60,134
03/15/2021,9.40,886120,9.48,10.00,9.01,135
