Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/17/2025,Friday,5.25,Coffee at skyline ,Entertainment and Recreation,Debit,Want
1/17/2025,Friday,12.71,Notebooks at skyline bookstore,Financial goals and Savings,Debit,Need
1/17/2025,Friday,368.71,Money transfer to Nepal,Financial goals and Savings,Debit,Need
1/17/2025,Saturday,5.39,Chips at Gas station store,Entertainment and Recreation,Cash,Want
1/18/2025,Saturday,12,Bus fare to work,Travel,Debit,Need
1/19/2025,Sunday,30,Send money to brother,Entertainment and Recreation,Debit,Want
1/19/2025,Sunday,7.5,Meal at Panda Express,Entertainment and Recreation,Debit,Want
1/20/2025,Monday,100,Money transfer to saving,Financial goals and Savings,Debit,Savings
1/21/2025,Tuesday,10,Transfer to cliper card ,Travel,Debit,Need
