Date,Close/Last,Volume,Open,High,Low,Day
12/22/2020,"96,000.96",13,"96,000.96","96,192.96","96,000.96",1046
12/23/2020,"96,096.96",13,"96,000.96","96,192.96","95,616.96","1,045"
12/24/2020,"96,000.96",12,"96,096.96","96,192.96","96,000.96",1044
12/28/2020,"95,808.96",3,"96,288.96","96,480.96","95,808.96","1,043"
12/29/2020,"95,808.96",11,"95,808.96","95,904.96","94,272.94",1042
12/30/2020,"95,712.96",2,"94,080.94","96,000.96","94,080.94","1,041"
12/31/2020,"96,000.96",17,"96,000.96","96,768.97","95,040.95",1040
01/04/2021,"96,768.97",6,"96,288.96","97,056.97","96,288.96","1,039"
01/05/2021,"96,576.97",4,"96,768.97","96,768.97","96,000.96",1038
01/06/2021,"96,192.96",4,"96,768.97","97,344.97","96,192.96","1,037"
01/07/2021,"96,672.97",24,"96,288.96","97,248.97","95,232.95",1036
01/08/2021,"96,960.97",7,"96,960.97","98,400.98","96,192.96","1,035"
01/11/2021,"115,201.15",928,"114,721.15","118,561.19","109,537.10",1034
01/12/2021,"111,361.11",324,"112,705.13","113,281.13","110,497.11","1,033"
01/13/2021,"111,841.12",318,"111,697.12","113,185.13","110,497.11",1032
01/14/2021,"114,241.14",223,"114,721.15","114,721.15","112,801.13","1,031"
01/15/2021,"113,857.14",151,"114,241.14","114,659.71","108,049.08",1030
01/19/2021,"111,745.12",120,"113,761.14","113,761.14","108,865.09","1,029"
01/20/2021,"109,921.10",71,"110,881.11","111,361.11","108,577.09","1,028"
01/21/2021,"106,849.07",102,"109,153.09","109,441.09","105,601.06",1027
01/22/2021,"107,041.07",72,"106,465.06","107,521.08","105,697.06","1,026"
01/25/2021,"109,633.10",208,"109,825.10","110,593.11","108,481.08",1025
01/26/2021,"127,009.27",546,"122,977.23","128,161.28","118,177.18","1,024"
01/27/2021,"124,801.25",467,"132,001.32","143,905.44","120,289.20",1023
01/28/2021,"148,129.48",1665,"153,505.54","168,001.68","139,201.39","1,022"
01/29/2021,"177,121.77",1532,"194,977.95","198,241.98","163,873.64",1021
02/01/2021,"183,937.84",681,"193,633.94","199,201.99","182,401.82","1,020"
02/02/2021,"170,689.71",437,"182,881.83","183,841.84","168,097.68",1019
02/03/2021,"155,521.56",504,"168,856.09","177,601.78","155,041.55","1,018"
02/04/2021,"159,649.60",303,"159,937.60","171,265.71","157,537.58",1017
02/05/2021,"165,697.66",394,"164,689.65","180,001.80","162,433.62","1,016"
02/08/2021,"167,905.68",240,"169,729.70","177,601.78","167,041.67",1015
02/09/2021,"162,145.62",224,"168,001.68","169,153.69","159,361.59","1,014"
02/10/2021,"157,249.57",212,"160,513.61","168,001.68","155,617.56",1013
02/11/2021,"151,585.52",193,"157,825.58","158,785.59","149,761.50","1,012"
02/12/2021,"149,569.50",126,"149,377.49","153,792.58","145,921.46",1011
02/16/2021,"162,433.62",249,"156,001.56","167,809.68","154,081.54","1,010"
02/17/2021,"171,073.71",261,"165,409.65","176,353.76","161,281.61",1009
02/18/2021,"164,833.65",127,"165,505.66","171,553.72","161,761.62","1,008"
02/19/2021,"164,161.64",129,"165,505.66","171,361.71","162,481.62",1007
02/22/2021,"169,153.69",247,"170,497.71","179,790.60","168,673.69","1,006"
02/23/2021,"149,761.50",315,"161,089.61","162,145.62","144,577.45",1005
02/24/2021,"147,937.48",144,"151,585.52","154,273.54","147,361.47","1,004"
02/25/2021,"144,001.44",202,"148,993.49","150,721.51","137,281.37",1003
02/26/2021,"135,265.35",191,"142,849.43","142,849.43","132,577.33","1,002"
03/01/2021,"143,041.43",136,"142,081.42","146,880.51","139,201.39",1001
03/02/2021,"136,033.36",91,"144,001.44","144,001.44","134,881.35","1,000"
03/03/2021,"122,689.23",178,"136,993.37","139,105.39","121,921.22",999
03/04/2021,"110,497.11",290,"123,361.23","124,705.25","109,825.10",998
03/05/2021,"114,241.14",320,"116,641.17","116,737.17","101,377.01",997
03/08/2021,"109,441.09",111,"113,549.94","119,425.19","108,001.08",996
03/09/2021,"116,833.17",126,"115,009.15","119,233.19","113,089.13",995
03/10/2021,"116,161.16",185,"120,097.20","120,414.96","112,321.12",994
03/11/2021,"128,257.28",154,"117,601.18","132,961.33","116,834.13",993
03/12/2021,"132,385.32",129,"124,993.25","134,401.34","123,409.23",992
03/15/2021,"127,969.28",95,"131,041.31","131,328.35","123,841.24",991
03/16/2021,"126,721.27",107,"133,441.33","135,361.35","124,993.25",990
03/17/2021,"126,145.26",99,"124,033.24","129,121.29","121,297.21",989
03/18/2021,"123,169.23",64,"124,801.25","126,721.27","122,401.22",988
03/19/2021,"121,537.22",61,"121,729.22","123,649.24","120,097.20",987
03/22/2021,"117,793.18",81,"120,961.21","121,441.21","115,777.16",986
03/23/2021,"117,217.17",68,"117,121.17","119,137.19","116,929.17",985
03/24/2021,"115,009.15",109,"117,985.18","119,329.19","114,433.14",984
03/25/2021,"111,457.11",102,"111,169.11","113,857.14","109,825.10",983
03/26/2021,"117,025.17",71,"115,489.15","117,025.17","111,361.11",982
03/29/2021,"115,297.15",42,"116,055.56","119,905.20","114,241.14",981
03/30/2021,"114,145.14",38,"115,201.15","116,742.93","112,417.12",980
03/31/2021,"115,777.16",44,"117,793.18","120,001.20","115,297.15",979
04/01/2021,"119,041.19",47,"118,657.19","122,785.23","117,409.17",978
04/05/2021,"118,945.19",37,"121,153.21","124,225.24","118,369.18",977
04/06/2021,"130,849.31",322,"130,561.31","135,745.36","127,393.27",976
04/07/2021,"134,689.35",141,"131,521.32","139,393.39","131,521.32",975
04/08/2021,"142,657.43",145,"134,689.35","145,345.45","134,689.35",974
04/09/2021,"143,905.44",135,"147,457.47","148,123.72","135,169.35",973
04/12/2021,"125,473.25",251,"140,929.41","143,137.43","122,881.23",972
04/13/2021,"120,769.21",124,"119,713.20","125,857.26","119,665.20",971
04/14/2021,"112,225.12",216,"121,537.22","124,705.25","111,553.12",970
04/15/2021,"118,657.19",126,"114,721.15","120,961.21","113,761.14",969
04/16/2021,"114,433.14",62,"118,849.19","118,849.19","113,857.14",968
04/19/2021,"110,881.11",73,"115,201.15","116,161.16","108,385.08",967
04/20/2021,"108,097.08",62,"108,577.09","110,113.10","106,417.06",966
04/21/2021,"112,993.13",58,"108,097.08","113,377.13","106,849.07",965
04/22/2021,"113,953.14",75,"112,993.13","117,313.17","112,417.12",964
04/23/2021,"117,793.18",43,"114,658.75","119,041.19","114,658.75",963
04/26/2021,"115,393.15",39,"117,025.17","117,697.18","114,241.14",962
04/27/2021,"113,473.13",25,"116,065.16","116,641.17","112,897.13",961
04/28/2021,"115,681.16",30,"112,801.13","116,161.16","112,801.13",960
04/29/2021,"112,705.13",28,"117,697.18","117,697.18","112,225.12",959
04/30/2021,"112,609.13",35,"112,897.13","114,433.14","112,225.12",958
05/03/2021,"111,745.12",33,"112,801.13","113,089.13","110,593.11",957
05/04/2021,"110,881.11",40,"110,881.11","111,841.12","108,577.09",956
05/05/2021,"113,569.14",16,"111,361.11","113,761.14","110,881.11",955
05/06/2021,"110,113.10",24,"111,687.52","113,089.13","109,729.10",954
05/07/2021,"108,001.08",72,"109,633.10","110,881.11","104,737.05",953
05/10/2021,"104,833.05",108,"112,801.13","112,801.13","104,257.04",952
05/11/2021,"105,121.05",106,"101,665.02","105,696.10","100,033.00",951
05/12/2021,"104,929.05",52,"106,465.06","107,041.07","101,953.02",950
05/13/2021,"104,545.05",48,"103,873.04","105,399.45","102,049.02",949
05/14/2021,"106,273.06",45,"104,065.04","108,481.08","103,633.04",948
05/17/2021,"105,985.06",17,"106,177.06","107,233.07","104,929.05",947
05/18/2021,"105,985.06",34,"105,889.06","108,097.08","105,217.05",946
05/19/2021,"104,257.04",30,"105,505.06","105,505.06","103,201.03",945
05/20/2021,"104,449.04",35,"104,641.05","105,601.06","104,161.04",944
05/21/2021,"103,969.04",31,"104,449.04","104,449.04","103,146.31",943
05/24/2021,"107,233.07",44,"104,929.05","111,457.11","103,393.03",942
05/25/2021,"113,185.13",97,"107,521.08","113,281.13","107,041.07",941
05/26/2021,"115,201.15",83,"115,162.75","118,561.19","112,513.13",940
05/27/2021,"120,193.20",133,"127,087.03","127,167.67","118,177.18",939
05/28/2021,"121,345.21",41,"120,673.21","123,840.28","118,629.35",938
06/01/2021,"117,985.18",56,"122,017.22","122,881.23","116,449.16",937
06/02/2021,"121,921.22",51,"120,769.21","125,185.25","117,841.18",936
06/03/2021,"126,913.27",106,"121,441.21","129,409.29","119,041.19",935
06/04/2021,"134,593.35",109,"128,065.28","135,361.35","128,065.28",934
06/07/2021,"129,697.30",158,"134,209.34","140,449.40","127,105.27",933
06/08/2021,"128,449.28",56,"130,945.31","133,825.34","125,665.26",932
06/09/2021,"128,449.28",77,"132,001.32","133,248.37","123,073.23",931
06/10/2021,"130,945.31",50,"128,449.28","132,001.32","124,321.24",930
06/11/2021,"131,713.32",26,"131,041.31","132,577.33","128,881.29",929
06/14/2021,"127,105.27",47,"130,561.31","135,649.36","125,857.26",928
06/15/2021,"127,201.27",37,"127,873.28","129,313.29","125,761.26",927
06/16/2021,"123,265.23",44,"125,761.26","126,474.54","121,537.22",926
06/17/2021,"120,673.21",53,"121,345.21","122,593.23","119,521.20",925
06/18/2021,"120,481.20",35,"120,961.21","123,254.67","119,617.20",924
06/21/2021,"128,929.29",91,"121,057.21","136,033.36","116,737.17",923
06/22/2021,"132,001.32",47,"134,401.34","134,401.34","129,793.30",922
06/23/2021,"142,945.43",111,"133,921.34","146,113.46","133,921.34",921
06/24/2021,"143,233.43",226,"147,841.48","157,249.57","138,721.39",920
06/25/2021,"153,217.53",350,"165,409.65","167,809.68","146,401.46",919
06/28/2021,"158,785.59",171,"160,225.60","164,161.64","153,794.50",918
06/29/2021,"152,353.52",130,"155,521.56","156,385.56","149,089.49",917
06/30/2021,"149,569.50",88,"151,105.51","153,121.53","148,321.48",916
07/01/2021,"150,049.50",56,"151,489.51","158,113.58","148,801.49",915
07/02/2021,"142,657.43",67,"151,201.51","152,641.53","142,177.42",914
07/06/2021,"139,777.40",88,"141,601.42","149,089.49","136,417.36",913
07/07/2021,"142,177.42",43,"144,961.45","145,441.45","139,825.40",912
07/08/2021,"140,353.40",96,"138,721.39","147,073.47","137,089.37",911
07/09/2021,"144,385.44",82,"143,521.44","145,633.46","140,257.40",910
